# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
244        	-2.793e+00	-1.255e+00	-3.259e+00	-4.422e+00	1.163e+00
245        	-2.794e+00	-1.255e+00	-3.260e+00	-4.424e+00	1.164e+00
246        	-2.796e+00	-1.255e+00	-3.262e+00	-4.427e+00	1.165e+00
247        	-2.799e+00	-1.256e+00	-3.265e+00	-4.431e+00	1.167e+00
248        	-2.802e+00	-1.256e+00	-3.267e+00	-4.435e+00	1.168e+00
249        	-2.804e+00	-1.257e+00	-3.269e+00	-4.439e+00	1.170e+00
250        	-2.807e+00	-1.257e+00	-3.271e+00	-4.442e+00	1.171e+00
251        	-2.810e+00	-1.258e+00	-3.273e+00	-4.446e+00	1.173e+00
252        	-2.812e+00	-1.259e+00	-3.275e+00	-4.450e+00	1.175e+00
253        	-2.815e+00	-1.260e+00	-3.277e+00	-4.454e+00	1.177e+00
254        	-2.819e+00	-1.261e+00	-3.280e+00	-4.459e+00	1.179e+00
255        	-2.822e+00	-1.262e+00	-3.284e+00	-4.464e+00	1.180e+00
256        	-2.825e+00	-1.263e+00	-3.287e+00	-4.469e+00	1.182e+00
257        	-2.828e+00	-1.264e+00	-3.289e+00	-4.473e+00	1.183e+00
258        	-2.830e+00	-1.265e+00	-3.291e+00	-4.475e+00	1.184e+00
259        	-2.831e+00	-1.265e+00	-3.292e+00	-4.477e+00	1.185e+00
260        	-2.832e+00	-1.265e+00	-3.292e+00	-4.478e+00	1.186e+00
261        	-2.831e+00	-1.266e+00	-3.292e+00	-4.477e+00	1.185e+00
262        	-2.831e+00	-1.266e+00	-3.291e+00	-4.476e+00	1.185e+00
263        	-2.829e+00	-1.266e+00	-3.289e+00	-4.474e+00	1.184e+00
264        	-2.827e+00	-1.266e+00	-3.288e+00	-4.471e+00	1.184e+00
265        	-2.825e+00	-1.266e+00	-3.285e+00	-4.468e+00	1.182e+00
266        	-2.822e+00	-1.266e+00	-3.283e+00	-4.464e+00	1.181e+00
267        	-2.819e+00	-1.266e+00	-3.280e+00	-4.459e+00	1.179e+00
268        	-2.815e+00	-1.267e+00	-3.276e+00	-4.453e+00	1.177e+00
269        	-2.810e+00	-1.267e+00	-3.271e+00	-4.446e+00	1.175e+00
270        	-2.804e+00	-1.268e+00	-3.266e+00	-4.437e+00	1.172e+00
271        	-2.798e+00	-1.269e+00	-3.259e+00	-4.427e+00	1.168e+00
272        	-2.790e+00	-1.269e+00	-3.251e+00	-4.416e+00	1.164e+00
273        	-2.782e+00	-1.270e+00	-3.243e+00	-4.404e+00	1.161e+00
274        	-2.774e+00	-1.272e+00	-3.235e+00	-4.392e+00	1.157e+00
