# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
79         	((-1.054e+01 1.286e+01 -7.599e-01) (-1.404e-01 1.184e-02 1.465e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.243e+00 -2.753e+00 -5.913e+00) (5.572e-03 -8.422e-03 3.529e-02) (0.000e+00 0.000e+00 0.000e+00))
80         	((-1.051e+01 1.290e+01 -7.883e-01) (-1.418e-01 1.202e-02 1.557e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.246e+00 -2.765e+00 -5.911e+00) (5.841e-03 -7.951e-03 3.564e-02) (0.000e+00 0.000e+00 0.000e+00))
81         	((-1.045e+01 1.292e+01 -7.849e-01) (-1.427e-01 1.207e-02 1.643e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.240e+00 -2.759e+00 -5.891e+00) (6.133e-03 -7.408e-03 3.594e-02) (0.000e+00 0.000e+00 0.000e+00))
82         	((-1.035e+01 1.289e+01 -7.220e-01) (-1.431e-01 1.205e-02 1.719e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.223e+00 -2.730e+00 -5.859e+00) (6.426e-03 -6.862e-03 3.616e-02) (0.000e+00 0.000e+00 0.000e+00))
83         	((-1.021e+01 1.279e+01 -5.866e-01) (-1.431e-01 1.197e-02 1.790e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.194e+00 -2.681e+00 -5.820e+00) (6.704e-03 -6.288e-03 3.627e-02) (0.000e+00 0.000e+00 0.000e+00))
84         	((-1.006e+01 1.265e+01 -3.947e-01) (-1.432e-01 1.190e-02 1.843e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.160e+00 -2.625e+00 -5.782e+00) (6.939e-03 -5.866e-03 3.635e-02) (0.000e+00 0.000e+00 0.000e+00))
85         	((-9.913e+00 1.247e+01 -1.854e-01) (-1.435e-01 1.186e-02 1.874e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.123e+00 -2.574e+00 -5.752e+00) (7.103e-03 -5.692e-03 3.646e-02) (0.000e+00 0.000e+00 0.000e+00))
86         	((-9.787e+00 1.231e+01 -6.464e-03) (-1.444e-01 1.211e-02 1.927e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.091e+00 -2.538e+00 -5.741e+00) (7.243e-03 -5.486e-03 3.652e-02) (0.000e+00 0.000e+00 0.000e+00))
87         	((-9.703e+00 1.220e+01 1.108e-01) (-1.456e-01 1.236e-02 1.964e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.068e+00 -2.524e+00 -5.749e+00) (7.306e-03 -5.432e-03 3.665e-02) (0.000e+00 0.000e+00 0.000e+00))
88         	((-9.662e+00 1.215e+01 1.565e-01) (-1.470e-01 1.257e-02 2.017e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.053e+00 -2.528e+00 -5.771e+00) (7.405e-03 -5.321e-03 3.682e-02) (0.000e+00 0.000e+00 0.000e+00))
89         	((-9.650e+00 1.213e+01 1.523e-01) (-1.487e-01 1.274e-02 2.070e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.045e+00 -2.541e+00 -5.794e+00) (7.494e-03 -5.282e-03 3.709e-02) (0.000e+00 0.000e+00 0.000e+00))
90         	((-9.654e+00 1.212e+01 1.284e-01) (-1.504e-01 1.291e-02 2.125e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.037e+00 -2.556e+00 -5.806e+00) (7.571e-03 -5.287e-03 3.739e-02) (0.000e+00 0.000e+00 0.000e+00))
91         	((-9.656e+00 1.210e+01 1.088e-01) (-1.522e-01 1.298e-02 2.180e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.026e+00 -2.566e+00 -5.802e+00) (7.656e-03 -5.303e-03 3.773e-02) (0.000e+00 0.000e+00 0.000e+00))
92         	((-9.642e+00 1.205e+01 1.039e-01) (-1.540e-01 1.293e-02 2.238e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.011e+00 -2.568e+00 -5.781e+00) (7.765e-03 -5.333e-03 3.817e-02) (0.000e+00 0.000e+00 0.000e+00))
