# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
81         	((-1.834e+01 -3.069e-01 -1.124e+02) (-2.508e-01 3.821e-03 6.288e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.780e+01 7.354e+01 8.805e+00) (2.860e-02 3.220e-03 1.117e-01) (0.000e+00 0.000e+00 0.000e+00))
82         	((-1.844e+01 -2.177e-01 -1.127e+02) (-2.519e-01 3.752e-03 6.328e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.789e+01 7.369e+01 8.880e+00) (2.885e-02 3.141e-03 1.124e-01) (0.000e+00 0.000e+00 0.000e+00))
83         	((-1.850e+01 -1.077e-01 -1.129e+02) (-2.530e-01 3.662e-03 6.367e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.795e+01 7.379e+01 8.943e+00) (2.908e-02 3.061e-03 1.131e-01) (0.000e+00 0.000e+00 0.000e+00))
84         	((-1.850e+01 1.647e-02 -1.130e+02) (-2.541e-01 3.553e-03 6.403e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.796e+01 7.384e+01 8.987e+00) (2.930e-02 2.989e-03 1.138e-01) (0.000e+00 0.000e+00 0.000e+00))
85         	((-1.846e+01 1.452e-01 -1.129e+02) (-2.553e-01 3.420e-03 6.434e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.793e+01 7.383e+01 9.013e+00) (2.949e-02 2.926e-03 1.145e-01) (0.000e+00 0.000e+00 0.000e+00))
86         	((-1.840e+01 2.673e-01 -1.129e+02) (-2.564e-01 3.266e-03 6.461e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.788e+01 7.380e+01 9.026e+00) (2.965e-02 2.874e-03 1.151e-01) (0.000e+00 0.000e+00 0.000e+00))
87         	((-1.834e+01 3.769e-01 -1.128e+02) (-2.575e-01 3.097e-03 6.483e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.783e+01 7.378e+01 9.031e+00) (2.978e-02 2.829e-03 1.158e-01) (0.000e+00 0.000e+00 0.000e+00))
88         	((-1.830e+01 4.710e-01 -1.127e+02) (-2.585e-01 2.929e-03 6.502e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.779e+01 7.377e+01 9.033e+00) (2.989e-02 2.788e-03 1.164e-01) (0.000e+00 0.000e+00 0.000e+00))
89         	((-1.828e+01 5.474e-01 -1.128e+02) (-2.595e-01 2.778e-03 6.521e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.776e+01 7.378e+01 9.037e+00) (3.001e-02 2.740e-03 1.170e-01) (0.000e+00 0.000e+00 0.000e+00))
90         	((-1.828e+01 6.070e-01 -1.128e+02) (-2.605e-01 2.656e-03 6.542e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.776e+01 7.382e+01 9.042e+00) (3.014e-02 2.682e-03 1.176e-01) (0.000e+00 0.000e+00 0.000e+00))
91         	((-1.830e+01 6.504e-01 -1.129e+02) (-2.614e-01 2.568e-03 6.565e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.777e+01 7.388e+01 9.050e+00) (3.029e-02 2.614e-03 1.181e-01) (0.000e+00 0.000e+00 0.000e+00))
92         	((-1.832e+01 6.795e-01 -1.130e+02) (-2.624e-01 2.523e-03 6.593e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.779e+01 7.395e+01 9.056e+00) (3.047e-02 2.535e-03 1.187e-01) (0.000e+00 0.000e+00 0.000e+00))
93         	((-1.834e+01 6.938e-01 -1.131e+02) (-2.634e-01 2.530e-03 6.630e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.780e+01 7.401e+01 9.055e+00) (3.072e-02 2.435e-03 1.194e-01) (0.000e+00 0.000e+00 0.000e+00))
94         	((-1.834e+01 6.928e-01 -1.132e+02) (-2.646e-01 2.586e-03 6.677e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.780e+01 7.405e+01 9.046e+00) (3.104e-02 2.306e-03 1.202e-01) (0.000e+00 0.000e+00 0.000e+00))
95         	((-1.833e+01 6.759e-01 -1.132e+02) (-2.660e-01 2.698e-03 6.739e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.778e+01 7.406e+01 9.029e+00) (3.145e-02 2.144e-03 1.211e-01) (0.000e+00 0.000e+00 0.000e+00))
