# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
83         	((-4.418e+00 -2.229e+00 -1.050e+02) (-1.976e-01 -1.191e-02 1.129e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.213e+01 -9.519e+01 4.256e+00) (1.601e-03 4.726e-02 8.053e-02) (0.000e+00 0.000e+00 0.000e+00))
84         	((-4.442e+00 -2.216e+00 -1.054e+02) (-1.993e-01 -1.214e-02 1.122e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.234e+01 -9.561e+01 4.256e+00) (1.537e-03 4.750e-02 8.117e-02) (0.000e+00 0.000e+00 0.000e+00))
85         	((-4.453e+00 -2.202e+00 -1.055e+02) (-2.010e-01 -1.239e-02 1.119e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.243e+01 -9.573e+01 4.251e+00) (1.496e-03 4.778e-02 8.183e-02) (0.000e+00 0.000e+00 0.000e+00))
86         	((-4.453e+00 -2.186e+00 -1.053e+02) (-2.027e-01 -1.259e-02 1.114e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.243e+01 -9.565e+01 4.239e+00) (1.457e-03 4.804e-02 8.246e-02) (0.000e+00 0.000e+00 0.000e+00))
87         	((-4.443e+00 -2.167e+00 -1.050e+02) (-2.045e-01 -1.278e-02 1.114e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.238e+01 -9.545e+01 4.219e+00) (1.445e-03 4.837e-02 8.318e-02) (0.000e+00 0.000e+00 0.000e+00))
88         	((-4.431e+00 -2.146e+00 -1.048e+02) (-2.064e-01 -1.287e-02 1.105e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.234e+01 -9.530e+01 4.194e+00) (1.395e-03 4.861e-02 8.382e-02) (0.000e+00 0.000e+00 0.000e+00))
89         	((-4.425e+00 -2.123e+00 -1.048e+02) (-2.083e-01 -1.295e-02 1.105e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.238e+01 -9.534e+01 4.168e+00) (1.411e-03 4.901e-02 8.452e-02) (0.000e+00 0.000e+00 0.000e+00))
90         	((-4.430e+00 -2.102e+00 -1.052e+02) (-2.102e-01 -1.301e-02 1.089e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.250e+01 -9.562e+01 4.144e+00) (1.319e-03 4.922e-02 8.523e-02) (0.000e+00 0.000e+00 0.000e+00))
91         	((-4.446e+00 -2.083e+00 -1.058e+02) (-2.122e-01 -1.299e-02 1.079e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.270e+01 -9.617e+01 4.124e+00) (1.289e-03 4.957e-02 8.589e-02) (0.000e+00 0.000e+00 0.000e+00))
92         	((-4.471e+00 -2.070e+00 -1.067e+02) (-2.142e-01 -1.285e-02 1.063e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.298e+01 -9.695e+01 4.109e+00) (1.238e-03 4.982e-02 8.651e-02) (0.000e+00 0.000e+00 0.000e+00))
