# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
74         	((-3.233e+01 1.052e+01 4.924e+01) (-7.486e-01 -2.869e-01 -2.487e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.345e+01 4.222e+01 2.233e+00) (-1.397e+01 -4.028e+01 7.582e-01) (0.000e+00 0.000e+00 0.000e+00))
75         	((-3.241e+01 1.080e+01 4.948e+01) (-7.594e-01 -3.060e-01 -2.496e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.361e+01 4.255e+01 2.240e+00) (-1.402e+01 -4.041e+01 7.913e-01) (0.000e+00 0.000e+00 0.000e+00))
76         	((-3.241e+01 1.105e+01 4.969e+01) (-7.699e-01 -3.242e-01 -2.503e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.373e+01 4.285e+01 2.239e+00) (-1.407e+01 -4.053e+01 8.231e-01) (0.000e+00 0.000e+00 0.000e+00))
77         	((-3.237e+01 1.122e+01 4.992e+01) (-7.790e-01 -3.410e-01 -2.511e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.384e+01 4.319e+01 2.288e+00) (-1.411e+01 -4.064e+01 8.521e-01) (0.000e+00 0.000e+00 0.000e+00))
78         	((-3.234e+01 1.133e+01 5.017e+01) (-7.858e-01 -3.550e-01 -2.517e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.396e+01 4.356e+01 2.424e+00) (-1.414e+01 -4.074e+01 8.755e-01) (0.000e+00 0.000e+00 0.000e+00))
79         	((-3.234e+01 1.140e+01 5.047e+01) (-7.913e-01 -3.656e-01 -2.523e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.410e+01 4.398e+01 2.622e+00) (-1.418e+01 -4.083e+01 8.927e-01) (0.000e+00 0.000e+00 0.000e+00))
80         	((-3.239e+01 1.142e+01 5.079e+01) (-7.954e-01 -3.722e-01 -2.528e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.427e+01 4.443e+01 2.893e+00) (-1.421e+01 -4.092e+01 9.024e-01) (0.000e+00 0.000e+00 0.000e+00))
81         	((-3.243e+01 1.140e+01 5.109e+01) (-7.991e-01 -3.748e-01 -2.534e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.443e+01 4.486e+01 3.180e+00) (-1.424e+01 -4.100e+01 9.055e-01) (0.000e+00 0.000e+00 0.000e+00))
82         	((-3.242e+01 1.133e+01 5.134e+01) (-8.023e-01 -3.726e-01 -2.539e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.460e+01 4.523e+01 3.453e+00) (-1.427e+01 -4.108e+01 9.010e-01) (0.000e+00 0.000e+00 0.000e+00))
83         	((-3.234e+01 1.121e+01 5.155e+01) (-8.063e-01 -3.670e-01 -2.543e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.477e+01 4.557e+01 3.668e+00) (-1.430e+01 -4.115e+01 8.917e-01) (0.000e+00 0.000e+00 0.000e+00))
