# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
85         	((-4.953e+01 -6.027e+00 -1.145e+02) (-3.250e-01 9.009e-03 1.299e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.068e+01 -2.219e+02 1.982e+01) (2.682e-02 3.336e-02 9.219e-02) (0.000e+00 0.000e+00 0.000e+00))
86         	((-4.929e+01 -4.876e+00 -1.134e+02) (-3.289e-01 8.916e-03 1.304e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.088e+01 -2.200e+02 1.791e+01) (2.697e-02 3.188e-02 9.395e-02) (0.000e+00 0.000e+00 0.000e+00))
87         	((-4.899e+01 -3.820e+00 -1.123e+02) (-3.330e-01 8.902e-03 1.307e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.105e+01 -2.179e+02 1.617e+01) (2.706e-02 3.016e-02 9.562e-02) (0.000e+00 0.000e+00 0.000e+00))
88         	((-4.866e+01 -2.965e+00 -1.113e+02) (-3.372e-01 9.015e-03 1.307e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.113e+01 -2.159e+02 1.477e+01) (2.701e-02 2.802e-02 9.716e-02) (0.000e+00 0.000e+00 0.000e+00))
89         	((-4.831e+01 -2.379e+00 -1.103e+02) (-3.417e-01 9.161e-03 1.306e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.110e+01 -2.140e+02 1.382e+01) (2.684e-02 2.537e-02 9.872e-02) (0.000e+00 0.000e+00 0.000e+00))
90         	((-4.796e+01 -2.026e+00 -1.093e+02) (-3.463e-01 9.324e-03 1.302e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.097e+01 -2.122e+02 1.324e+01) (2.662e-02 2.244e-02 1.003e-01) (0.000e+00 0.000e+00 0.000e+00))
91         	((-4.762e+01 -1.831e+00 -1.085e+02) (-3.511e-01 9.552e-03 1.298e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.080e+01 -2.106e+02 1.290e+01) (2.633e-02 1.921e-02 1.018e-01) (0.000e+00 0.000e+00 0.000e+00))
92         	((-4.730e+01 -1.740e+00 -1.079e+02) (-3.561e-01 9.901e-03 1.292e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.061e+01 -2.092e+02 1.272e+01) (2.595e-02 1.572e-02 1.032e-01) (0.000e+00 0.000e+00 0.000e+00))
93         	((-4.702e+01 -1.742e+00 -1.073e+02) (-3.613e-01 1.033e-02 1.286e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.041e+01 -2.081e+02 1.268e+01) (2.550e-02 1.198e-02 1.045e-01) (0.000e+00 0.000e+00 0.000e+00))
94         	((-4.679e+01 -1.849e+00 -1.069e+02) (-3.667e-01 1.081e-02 1.278e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-3.018e+01 -2.073e+02 1.281e+01) (2.500e-02 8.020e-03 1.058e-01) (0.000e+00 0.000e+00 0.000e+00))
